"genre","year","budget","gross","number","score","runtime"
"Crime",1993,16968750,35614798.25,16,6.75625,118.875
"Crime",1994,11930000,39252198.9,10,6.91,111
"Crime",1995,23326666.6666667,51639776.9333333,15,6.82666666666667,115.533333333333
"Crime",1996,25062500,37674932.5625,16,6.675,114.25
"Crime",1997,27785714.2857143,32835942,14,6.69285714285714,121.571428571429
"Crime",1998,23708833.3333333,28138047.25,12,6.44166666666667,102.916666666667
"Crime",1999,40400000,81413423.1333333,15,6.49333333333333,116.466666666667
"Crime",2000,23915384.6153846,47034116.0769231,13,6.68461538461538,114.538461538462
"Crime",2001,32723076.9230769,88101136.0769231,13,6.68461538461538,112.230769230769
"Crime",2002,34845238.0952381,60799472.7142857,21,6.56190476190476,110.857142857143
"Crime",2003,18746666.6666667,38226183.3333333,15,7.11333333333333,116.2
"Crime",2004,29454545.4545455,79950991.8181818,11,7.01818181818182,106.636363636364
"Crime",2005,31744444.4444444,53860685.2222222,9,6.82222222222222,115
"Crime",2006,38625000,130879608.75,8,7.125,120.25
"Crime",2007,25017173.9130435,61046557.8695652,23,6.42608695652174,106.391304347826
"Crime",2008,20400000,39270330.3529412,17,6.45294117647059,106.235294117647
"Crime",2009,15100000,23798176.75,8,6.875,122.25
"Crime",2010,25500000,53313726.25,8,6.5375,111.625
"Crime",2011,38200000,82261739.4,5,6.98,113.8
"Crime",2012,16787734.5454545,27622960.2727273,11,6.34545454545455,111.727272727273
"Crime",2013,26356363.6363636,92842892.2727273,11,6.80909090909091,112.272727272727
"Crime",2014,19516666.6666667,38246108.8333333,6,7,117.333333333333
"Crime",2015,28575000,51107479.5,4,6.725,126
"Crime",2016,25475000,109794972.25,4,6.7,104.5
"Crime",2017,22687500,73393010.625,8,6.6125,113
"Crime",2018,24500000,67733755,10,6.72,125.4
"Crime",2019,5.5e+07,1074427370,1,8.4,122
"Drama",1980,8060000,22413855,5,6.68,112.8
"Drama",1981,18587500,14567856,8,6.0375,116.5
"Drama",1982,12125000,34548713.6666667,12,7.06666666666667,124.333333333333
"Drama",1983,7650000,21666275.9166667,12,5.99166666666667,104
"Drama",1984,11371428.5714286,19257526.6428571,14,6.40714285714286,111.714285714286
"Drama",1985,11252777.7777778,37067508.6111111,18,6.39444444444444,110.166666666667
"Drama",1986,10663636.3636364,34532044.5454545,11,6.85454545454545,113.181818181818
"Drama",1987,14166666.6666667,69236729.3333333,9,6.83333333333333,111.111111111111
"Drama",1988,10826086.9565217,22413720.3043478,23,6.60434782608696,113.521739130435
"Drama",1989,12808333.3333333,26517912.4166667,12,6.78333333333333,108
"Drama",1990,19350000,53102210.1666667,18,6.5,112.5
"Drama",1991,16486842.1052632,41951440.5263158,19,6.83157894736842,118.631578947368
"Drama",1992,17393703.7037037,45486868.5555556,27,6.8,116.703703703704
"Drama",1993,18546428.5714286,44532323.2857143,28,6.71785714285714,123.642857142857
"Drama",1994,29482352.9411765,103194070.823529,17,7.12941176470588,117.176470588235
"Drama",1995,15380347.2608696,30418776.4782609,23,6.77391304347826,113.130434782609
"Drama",1996,21926315.7894737,41714265.3157895,19,6.70526315789474,126.947368421053
"Drama",1997,30661666.6666667,126092533.916667,24,7.175,120.25
"Drama",1998,38102727.2727273,77927910.5454545,22,7.10454545454545,128.090909090909
"Drama",1999,38904193.5483871,65568955.7096774,31,6.71935483870968,120.774193548387
"Drama",2000,28218181.8181818,46130175,33,6.62727272727273,114.30303030303
"Drama",2001,35362500,52221880.21875,32,6.703125,118.65625
"Drama",2002,29134375,63650580.9375,32,6.653125,108.84375
"Drama",2003,21511764.7058824,31485310.1764706,17,6.28235294117647,107.705882352941
"Drama",2004,37692280,110413626.6,25,6.952,118.12
"Drama",2005,26984482.7586207,63335503.5862069,29,6.61034482758621,113.379310344828
"Drama",2006,34037500,57958406.5416667,24,6.97083333333333,120.833333333333
"Drama",2007,19772727.2727273,51905881.0454545,22,6.86363636363636,113.772727272727
"Drama",2008,30442307.6923077,114135643.961538,26,6.9,113.538461538462
"Drama",2009,18443750,32748936,32,6.690625,112.09375
"Drama",2010,20373214.2857143,59363767.7142857,28,6.70714285714286,111.392857142857
"Drama",2011,23926833.3333333,45313894.5333333,30,6.76333333333333,112.1
"Drama",2012,25530769.2307692,89956379.8076923,26,6.95384615384615,117.615384615385
"Drama",2013,23376086.9565217,67993560.9130435,23,6.73913043478261,109.869565217391
"Drama",2014,15526666.6666667,48497433.3,30,6.66333333333333,110.466666666667
"Drama",2015,21530769.2307692,81065000.4230769,26,6.53076923076923,113.769230769231
"Drama",2016,27023529.4117647,80517172.7647059,17,6.92941176470588,118.588235294118
"Drama",2017,20577777.7777778,61368469.037037,27,6.27037037037037,109.740740740741
"Drama",2018,18738666.6666667,112427034.266667,15,6.78666666666667,111.6
"Drama",2019,23896875,120056706.125,16,6.56875,117.6875
"Drama",2020,7e+06,143151000,1,7.1,124
"Family",1982,10500000,792910554,1,7.8,115
"Family",1993,1.9e+07,2119994,1,5.9,92
"Family",2004,1.5e+07,14867514,1,5.9,103
"Family",2017,1.6e+08,1264434525,1,7.1,129
"Fantasy",1980,2e+07,22762571,1,5.3,96
"Fantasy",1982,1.8e+07,7e+06,1,6.2,118
"Fantasy",1983,1.9e+07,8400000,1,6.8,95
"Fantasy",1985,1.1e+07,14240453,2,6.2,112
"Fantasy",1987,3666666.66666667,22887247.6666667,3,6.06666666666667,93.6666666666667
"Fantasy",1988,6050000,17470592.5,4,6.5,96
